user_id,recommended_items
0,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
1,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
2,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
3,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
4,"[88, 87, 86, 85, 83, 81, 82, 80, 79, 71]"
5,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
6,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
7,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
8,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
9,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
10,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
11,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
12,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
13,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
14,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
15,"[88, 87, 86, 85, 84, 82, 81, 80, 79, 71]"
16,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
17,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
18,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
19,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
20,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
21,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
22,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
23,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
24,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
25,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
26,"[88, 86, 85, 84, 83, 81, 82, 80, 79, 71]"
27,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
28,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
29,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
30,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 78]"
31,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
32,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
33,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
34,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
35,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
36,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
37,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
38,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
39,"[88, 87, 86, 85, 84, 83, 82, 80, 79, 71]"
40,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
41,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
42,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
43,"[88, 87, 86, 84, 83, 81, 82, 80, 79, 71]"
44,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
45,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
46,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
47,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
48,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
49,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
50,"[88, 87, 85, 84, 83, 81, 82, 80, 79, 71]"
51,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
52,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
53,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
54,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
55,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
56,"[88, 87, 86, 85, 84, 83, 81, 80, 79, 71]"
57,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
58,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
59,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
60,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
61,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
62,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
63,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
64,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
65,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
66,"[88, 87, 86, 85, 84, 83, 82, 81, 80, 79]"
